,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,imgName,maskName,multimaskName,label
400,400,400,0,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0001.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0001.bmp,"Dataset-new-2/Validation-400/0373/0373.jpg
",0
401,401,401,1,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0002.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0002.bmp,"Dataset-new-2/Validation-400/0091/0091.jpg
",0
402,402,402,2,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0003.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0003.bmp,"Dataset-new-2/Validation-400/0010/0010.jpg
",0
403,403,403,3,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0004.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0004.bmp,"Dataset-new-2/Validation-400/0146/0146.jpg
",0
404,404,404,4,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0005.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0005.bmp,"Dataset-new-2/Validation-400/0267/0267.jpg
",0
405,405,405,5,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0006.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0006.bmp,"Dataset-new-2/Validation-400/0230/0230.jpg
",1
406,406,406,6,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0007.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0007.bmp,"Dataset-new-2/Validation-400/0279/0279.jpg
",0
407,407,407,7,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0008.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0008.bmp,"Dataset-new-2/Validation-400/0073/0073.jpg
",0
408,408,408,8,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0009.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0009.bmp,"Dataset-new-2/Validation-400/0352/0352.jpg
",0
409,409,409,9,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0010.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0010.bmp,"Dataset-new-2/Validation-400/0005/0005.jpg
",0
410,410,410,10,,REFUGE/REFUGE-Validation400/REFUGE-Validation400/V0011.jpg,REFUGE/REFUGE-Validation400-GT/Disc_Cup_Masks/V0011.bmp,"Dataset-new-2/Validation-400/0021/0021.jpg
",0
